क्रमाङ्क,पदाः
26,"['तत्र', 'अपश्यत्', 'स्थितान्', 'पार्थस्', 'पितॄन्', 'अथ', 'पितामहान्', '।', 'आचार्यान्', 'मातुलान्', 'भ्रातॄन्', 'पुत्रान्', 'पौत्रान्', 'सखीन्', 'तथा', '॥']"
27,"['श्वशुरान्', 'सुहृदस्', 'च', 'एव', 'सेनयोस्', 'उभयोस्', 'अपि', '।', 'तान्', 'समीक्ष्य', 'सस्', 'कौन्तेयस्', 'सर्वान्', 'बन्धून्', 'अवस्थितान्', '॥']"
28,"['कृपया', 'परया', 'आविष्टस्', 'विषीदन्', 'इदम्', 'अब्रवीत्', '।', 'दृष्ट्वा', 'इमम्', 'स्वजनम्', 'कृष्ण', 'युयुत्सुम्', 'समुपस्थितम्', '॥']"
29,"['सीदन्ति', 'मम', 'गात्राणि', 'मुखम्', 'च', 'परिशुष्यति', '।', 'वेपथुस्', 'च', 'शरीरे', 'मे', 'रोमहर्षस्', 'च', 'जायते', '॥']"
30,"['गाण्डीवम्', 'स्रंसते', 'हस्तात्', 'त्वक्', 'च', 'एव', 'परिदह्यते', '।', 'न', 'च', 'शक्नोमि', 'अवस्थातुम्', 'भ्रमति', 'इव', 'च', 'मे', 'मनस्', '॥']"
31,"['निमित्तानि', 'च', 'पश्यामि', 'विपरीतानि', 'केशव', '।', 'न', 'च', 'श्रेयस्', 'अनुपश्यामि', 'हत्वा', 'स्वजनम्', 'आहवे', '॥']"
32,"['न', 'काङ्क्षे', 'विजयम्', 'कृष्ण', 'न', 'च', 'राज्यम्', 'सुखानि', 'च', '।', 'किम्', 'नस्', 'राज्येन', 'गोविन्द', 'किम्', 'भोगैस्', 'जीवितेन', 'वा', '॥']"
33,"['येषाम्', 'अर्थे', 'काङ्क्षितम्', 'नस्', 'राज्यम्', 'भोगास्', 'सुखानि', 'च', '।', 'ते', 'इमे', 'अवस्थिता', 'युद्धे', 'प्राणान्', 'त्यक्त्वा', 'धनानि', 'च', '॥']"
34,"['आचार्यास्', 'पितरस्', 'पुत्रास्', 'तथा', 'एव', 'च', 'पितामहास्', '।', 'मातुलास्', 'श्वशुरास्', 'पौत्रास्', 'श्यालास्', 'सम्बन्धिनस्', 'तथा', '॥']"
35,"['एतान्', 'न', 'हन्तुम्', 'इच्छामि', 'घ्नतस्', 'अपि', 'मधुसूदन', '।', 'अपि', 'त्रैलोक्यराज्यस्य', 'हेतोस्', 'किम्', 'नु', 'महीकृते', '॥']"
36,"['निहत्य', 'धार्तराष्ट्रान्', 'नस्', 'का', 'प्रीतिस्', 'स्यात्', 'जनार्दन', '।', 'पापम्', 'एव', 'आश्रयेत्', 'अस्मान्', 'हत्वा', 'एतान्', 'आततायिनस्', '॥']"
37,"['तस्मान्', 'न', 'अर्हास्', 'वयम्', 'हन्तुम्', 'धार्तराष्ट्रान्', 'स्वबान्धवान्', '।', 'स्वजनम्', 'हि', 'कथम्', 'हत्वा', 'सुखिनस्', 'स्याम', 'माधव', '॥']"
38,"['यदि', 'अपि', 'एते', 'न', 'पश्यन्ति', 'लोभोपहतचेतसस्', '।', 'कुलक्षयकृतम्', 'दोषम्', 'मित्रद्रोहे', 'च', 'पातकम्', '॥']"
39,"['कथम्', 'न', 'ज्ञेयम्', 'अस्माभिस्', 'पापात्', 'अस्मान्', 'निवर्तितुम्', '।', 'कुलक्षयकृतम्', 'दोषम्', 'प्रपश्यद्भिस्', 'जनार्दन', '॥']"
40,"['कुलक्षये', 'प्रणश्यन्ति', 'कुलधर्मास्', 'सनातनास्', '।', 'धर्मे', 'नष्टे', 'कुलम्', 'कृत्स्नम्', 'अधर्मस्', 'अभिभवति', 'उत', '॥']"
41,"['अधर्माभिभवात्', 'कृष्ण', 'प्रदुष्यन्ति', 'कुलस्त्रियस्', '।', 'स्त्रीषु', 'दुष्टासु', 'वार्ष्णेय', 'जायते', 'वर्णसङ्करस्', '॥']"
42,"['सङ्करस्', 'नरकाय', 'एव', 'कुलघ्नानाम्', 'कुलस्य', 'च', '।', 'पतन्ति', 'पितरस्', 'हि', 'एषाम्', 'लुप्तपिण्डोदकक्रियास्', '॥']"
43,"['दोषैस्', 'एतैस्', 'कुलघ्नानाम्', 'वर्णसङ्करकारकैस्', '।', 'उत्साद्यन्ते', 'जातिधर्मास्', 'कुलधर्मास्', 'च', 'शाश्वतास्', '॥']"
44,"['उत्सन्नकुलधर्माणाम्', 'मनुष्याणाम्', 'जनार्दन', '।', 'नरके', 'अनियतम्', 'वासस्', 'भवति', 'इति', 'अनुशुश्रुम', '॥']"
45,"['अहो', 'बत', 'महत्पापम्', 'कर्तुम्', 'व्यवसितास्', 'वयम्', '।', 'यत्', 'राज्यसुखलोभेन', 'हन्तुम्', 'स्वजनम्', 'उद्यतास्', '॥']"
46,"['यदि', 'माम्', 'अप्रतीकारम्', 'अशस्त्रम्', 'शस्त्रपाणयस्', '।', 'धार्तराष्ट्रास्', 'रणे', 'हन्युस्', 'तत्', 'मे', 'क्षेमतरम्', 'भवेत्', '॥']"
47,"['एवमुक्त्वार्जुनस्', 'सङ्ख्ये', 'रथोपस्थे', 'उपाविशत्', '।', 'विसृज्य', 'सशरम्', 'चापम्', 'शोकसंविग्नमानसस्', '॥']"
48,"['तम्', 'तथा', 'कृपयाविष्टम्', 'अश्रुपूर्णाकुलेक्षणम्', '।', 'विषीदन्तम्', 'इदम्', 'वाक्यम्', 'उवाच', 'मधुसूदनस्', '॥']"
49,"['कुतस्', 'त्वा', 'कश्मलम्', 'इदम्', 'विषमे', 'समुपस्थितम्', '।', 'अनार्यजुष्टम्', 'अस्वर्ग्यम्', 'अकीर्तिकरम्', 'अर्जुन', '॥']"
50,"['क्लैब्यम्', 'मा', 'स्म', 'गमस्', 'पार्थ', 'न', 'एतत्', 'त्वयि', 'उपपद्यते', '।', 'क्षुद्रम्', 'हृदयदौर्बल्यम्', 'त्यक्त्वा', 'उत्तिष्ठ', 'परन्तप', '॥']"
